date,category_group,category,payee,account,inflow,outflow
2021-02-15,Food,Dining Out,Chipotle,Capital One Savor,0,16.388758915322096
2021-02-16,Shopping,Merchandise,Target,Citi Double Cash,0,19.288381295497935
2021-02-17,Food,Dining Out,Chick Fil-A,Capital One Savor,0,11.529774264753144
2021-02-17,Food,Groceries,Giant,Capital One Savor,0,14.124187115704817
2021-02-17,Food,Groceries,Safeway,Capital One Savor,0,17.914559482877852
2021-02-18,Food,Groceries,Giant,Capital One Savor,0,14.815755367982538
2021-02-18,Shopping,Merchandise,Target,Citi Double Cash,0,19.438879292368654
2021-02-18,Transportation,Public Transportation,Bus,Citi Double Cash,0,1.96418401612143
2021-02-18,Food,Dining Out,McDonald's,Capital One Savor,0,10.168797203578205
2021-02-19,Food,Groceries,Giant,Capital One Savor,0,15.523723746213491
2021-02-19,Shopping,Merchandise,Target,Citi Double Cash,0,19.607068325967802
2021-02-19,Transportation,Public Transportation,Metro,Citi Double Cash,0,3.130956403603452
2021-02-20,Food,Groceries,Safeway,Capital One Savor,0,16.008484654173845
2021-02-20,Food,Groceries,Whole Foods,Amazon,0,14.853411949048073
2021-02-21,Food,Dining Out,Dunkin',Capital One Savor,0,10.59533906154089
2021-02-21,Shopping,Entertainment,Washington Nationals,Capital One Savor,0,19.304969070325562
2021-02-21,Shopping,Merchandise,Amazon,Citi Double Cash,0,19.40851587920456
2021-02-22,Transportation,Public Transportation,Metro,Citi Double Cash,0,4.074971505608499
2021-02-22,Shopping,Clothes,Madewell,Citi Double Cash,0,39.420012441121855
2021-02-22,Transportation,Rideshare,Lyft,Citi Double Cash,0,11.248008657738865
2021-02-22,Food,Dining Out,Chick Fil-A,Capital One Savor,0,10.726359010741906
2021-02-23,Food,Dining Out,Chick Fil-A,Capital One Savor,0,13.16877645818389
2021-02-23,Food,Dining Out,Dunkin',Capital One Savor,0,9.151618906861895
2021-02-23,Transportation,Public Transportation,Metro,Citi Double Cash,0,1.9124524404764973
2021-02-24,Transportation,Parking,Parking Garage,Citi Double Cash,0,3.1969424844611156
2021-02-24,Food,Dining Out,Dunkin',Capital One Savor,0,10.638152983863911
2021-02-25,Transportation,Gas,7-Eleven,Citi Custom Cash,0,29.989352913750498
2021-02-25,Food,Groceries,Safeway,Capital One Savor,0,15.970758772208823
2021-02-25,Food,Groceries,Trader Joe's,Capital One Savor,0,14.968947830524094
2021-02-26,Transportation,Public Transportation,Bus,Citi Double Cash,0,2.417894047265956
2021-02-26,Food,Dining Out,Chick Fil-A,Capital One Savor,0,11.584858338440812
2021-02-27,Transportation,Rideshare,Lyft,Citi Double Cash,0,11.255847479405938
2021-02-27,Transportation,Public Transportation,Bus,Citi Double Cash,0,3.6266140731648666
2021-02-28,Transportation,Public Transportation,Bus,Citi Double Cash,0,1.3685062934315486
2021-02-28,Transportation,Rideshare,Lyft,Citi Double Cash,0,10.400872962979447
2021-03-01,Food,Dining Out,Dunkin',Capital One Savor,0,10.628962318582003
2021-03-01,Food,Groceries,Whole Foods,Amazon,0,15.853482084536923
2021-03-01,Food,Groceries,Trader Joe's,Capital One Savor,0,14.810109194867632
2021-03-01,Food,Dining Out,Chipotle,Capital One Savor,0,16.849158021238697
2021-03-01,Home,Rent,55555 Main Street,Bank of America Checking,0,1000
2021-03-01,Home,Utilities,Electric Company,Bank of America Checking,0,100
2021-03-01,Subscriptions,Netflix,Netflix,Capital One Savor,0,15
2021-03-01,Inflow,Ready to Assign,"My Job, Inc.",Bank of America Checking,4000,0
2021-03-01,Inflow,Ready to Assign,Interest,Capital One Savings,100,0
2021-03-02,Food,Dining Out,Dunkin',Capital One Savor,0,10.637627680152605
2021-03-02,Food,Groceries,Giant,Capital One Savor,0,16.19588105057638
2021-03-03,Transportation,Public Transportation,Bus,Citi Double Cash,0,2.747957874918248
2021-03-03,Transportation,Rideshare,Uber,Capital One Savor,0,10.770380016002388
2021-03-04,Transportation,Parking,Parking Garage,Citi Double Cash,0,4.590376620717688
2021-03-04,Food,Groceries,Safeway,Capital One Savor,0,16.336342489584737
2021-03-04,Transportation,Gas,Citgo,Citi Custom Cash,0,29.374525522847357
2021-03-05,Food,Groceries,Safeway,Capital One Savor,0,14.440934282857398
2021-03-06,Transportation,Public Transportation,Metro,Citi Double Cash,0,2.516562045750119
2021-03-06,Transportation,Public Transportation,Bus,Citi Double Cash,0,2.795113113475716
2021-03-06,Food,Groceries,Trader Joe's,Capital One Savor,0,15.077596156706548
2021-03-07,Food,Dining Out,McDonald's,Capital One Savor,0,11.508511992596379
2021-03-07,Food,Groceries,Giant,Capital One Savor,0,16.986925237906867
2021-03-07,Shopping,Merchandise,Target,Citi Double Cash,0,19.781686720819483
2021-03-08,Food,Dining Out,Chick Fil-A,Capital One Savor,0,11.931588229028574
2021-03-08,Food,Dining Out,McDonald's,Capital One Savor,0,11.730765980125046
2021-03-08,Food,Groceries,Trader Joe's,Capital One Savor,0,14.968847003661034
2021-03-09,Shopping,Merchandise,Amazon,Citi Double Cash,0,20.18715593296028
2021-03-09,Food,Groceries,Safeway,Capital One Savor,0,14.213962363776167
2021-03-09,Transportation,Gas,Shell,Citi Custom Cash,0,29.371289743737538
2021-03-09,Shopping,Entertainment,Washington Nationals,Capital One Savor,0,19.061396913232354
2021-03-10,Food,Dining Out,Chipotle,Capital One Savor,0,17.213524381909615
2021-03-10,Transportation,Public Transportation,Metro,Citi Double Cash,0,3.0731640865269902
2021-03-11,Food,Dining Out,Subway,Capital One Savor,0,9.367464265442946
2021-03-11,Food,Groceries,Safeway,Capital One Savor,0,16.374551015357984
2021-03-12,Transportation,Gas,7-Eleven,Citi Custom Cash,0,28.94212422482611
2021-03-12,Food,Dining Out,McDonald's,Capital One Savor,0,9.729861647350011
2021-03-12,Food,Groceries,Safeway,Capital One Savor,0,14.49094614331072
2021-03-13,Transportation,Gas,Citgo,Citi Custom Cash,0,29.345162502286193
2021-03-13,Shopping,Merchandise,Walmart,Citi Double Cash,0,19.454070242640178
2021-03-13,Transportation,Rideshare,Uber,Capital One Savor,0,10.676171660102293
2021-03-13,Shopping,Entertainment,Washington Nationals,Capital One Savor,0,20.285839749527177
2021-03-14,Food,Dining Out,McDonald's,Capital One Savor,0,10.350603680072712
2021-03-14,Shopping,Merchandise,Amazon,Citi Double Cash,0,19.051170040627376
2021-03-14,Food,Groceries,Safeway,Capital One Savor,0,13.854300310529618
2021-03-14,Food,Groceries,Giant,Capital One Savor,0,15.362399806634373
2021-03-15,Food,Groceries,Safeway,Capital One Savor,0,16.13209846694356
2021-03-15,Shopping,Clothes,Madewell,Citi Double Cash,0,39.96768707852243
2021-03-15,Transportation,Public Transportation,Metro,Citi Double Cash,0,2.362805806677313
2021-03-16,Food,Dining Out,McDonald's,Capital One Savor,0,8.596105749268682
2021-03-17,Food,Dining Out,Chipotle,Capital One Savor,0,16.469056234555048
2021-03-17,Shopping,Merchandise,Target,Citi Double Cash,0,19.99393375244672
2021-03-17,Food,Groceries,Giant,Capital One Savor,0,16.19162687996291
2021-03-17,Food,Dining Out,Dunkin',Capital One Savor,0,10.020806394630972
2021-03-18,Shopping,Entertainment,Alamo,Capital One Savor,0,11.566711798050775
2021-03-18,Food,Groceries,Trader Joe's,Capital One Savor,0,14.616973333614084
2021-03-18,Food,Groceries,Safeway,Capital One Savor,0,16.3462015307239
2021-03-19,Food,Groceries,Giant,Capital One Savor,0,15.919231395711515
2021-03-19,Food,Dining Out,Chipotle,Capital One Savor,0,15.441198962662055
2021-03-19,Food,Dining Out,McDonald's,Capital One Savor,0,8.929666553834231
2021-03-20,Food,Groceries,Giant,Capital One Savor,0,15.427655821216636
2021-03-20,Food,Dining Out,McDonald's,Capital One Savor,0,9.046079502650489
2021-03-20,Transportation,Parking,Parkmobile,Citi Double Cash,0,4.796630033724737
2021-03-21,Transportation,Gas,7-Eleven,Citi Custom Cash,0,29.312704775380787
2021-03-21,Food,Groceries,Giant,Capital One Savor,0,14.23231970751015
2021-03-21,Shopping,Clothes,Zara,Citi Double Cash,0,49.77419738319923
2021-03-22,Shopping,Clothes,Target,Citi Double Cash,0,13.772870135372004
2021-03-22,Transportation,Parking,Parkmobile,Citi Double Cash,0,4.951200082236637
2021-03-22,Food,Dining Out,Subway,Capital One Savor,0,10.901347704861774
2021-03-22,Transportation,Rideshare,Uber,Capital One Savor,0,10.261773954756507
2021-03-23,Food,Dining Out,McDonald's,Capital One Savor,0,11.879400723737454
2021-03-23,Shopping,Clothes,Target,Citi Double Cash,0,14.94065503859335
2021-03-23,Shopping,Clothes,Madewell,Citi Double Cash,0,38.609047120928835
2021-03-24,Food,Groceries,Safeway,Capital One Savor,0,14.784318563785842
2021-03-24,Food,Dining Out,Dunkin',Capital One Savor,0,9.636213474858934
2021-03-24,Shopping,Entertainment,Alamo,Capital One Savor,0,12.962880635132333
2021-03-25,Transportation,Gas,7-Eleven,Citi Custom Cash,0,27.509961034946237
2021-03-25,Food,Groceries,Safeway,Capital One Savor,0,16.058986901221296
2021-03-26,Transportation,Gas,7-Eleven,Citi Custom Cash,0,29.289829113516067
2021-03-26,Shopping,Clothes,Target,Citi Double Cash,0,15.479036760412013
2021-03-26,Food,Dining Out,Subway,Capital One Savor,0,11.673698758349882
2021-03-27,Transportation,Rideshare,Uber,Capital One Savor,0,10.943647065278554
2021-03-27,Shopping,Entertainment,AMC,Capital One Savor,0,9.30375920970389
2021-03-27,Food,Groceries,Giant,Capital One Savor,0,15.91123556437532
2021-03-28,Shopping,Merchandise,Target,Citi Double Cash,0,20.32793198214036
2021-03-28,Food,Groceries,Safeway,Capital One Savor,0,14.177055200642725
2021-03-29,Food,Groceries,Safeway,Capital One Savor,0,16.02698222266288
2021-03-29,Food,Groceries,Giant,Capital One Savor,0,14.640336170395054
2021-03-30,Food,Groceries,Giant,Capital One Savor,0,15.511004738888285
2021-03-30,Transportation,Parking,Parking Garage,Citi Double Cash,0,3.3376472623525357
2021-03-30,Food,Dining Out,Subway,Capital One Savor,0,9.347014319137761
2021-03-31,Food,Groceries,Safeway,Capital One Savor,0,15.233629826885137
2021-03-31,Food,Groceries,Giant,Capital One Savor,0,15.087732113105087
2021-04-01,Food,Groceries,Giant,Capital One Savor,0,15.50937110115039
2021-04-01,Food,Groceries,Safeway,Capital One Savor,0,14.661328686708313
2021-04-01,Food,Groceries,Trader Joe's,Capital One Savor,0,14.883461200770652
2021-04-01,Home,Rent,55555 Main Street,Bank of America Checking,0,1000
2021-04-01,Home,Utilities,Electric Company,Bank of America Checking,0,100
2021-04-01,Subscriptions,Netflix,Netflix,Capital One Savor,0,15
2021-04-01,Inflow,Ready to Assign,"My Job, Inc.",Bank of America Checking,4000,0
2021-04-01,Inflow,Ready to Assign,Interest,Capital One Savings,100,0
2021-04-02,Transportation,Parking,Parking Garage,Citi Double Cash,0,3.8945579852926886
2021-04-02,Food,Dining Out,McDonald's,Capital One Savor,0,10.149231797476164
2021-04-03,Shopping,Merchandise,Amazon,Citi Double Cash,0,18.351453165570902
2021-04-03,Food,Dining Out,Chick Fil-A,Capital One Savor,0,9.867103762154315
2021-04-03,Food,Groceries,Whole Foods,Amazon,0,16.878760214991786
2021-04-04,Food,Groceries,Giant,Capital One Savor,0,14.820340827185776
2021-04-04,Shopping,Entertainment,Alamo,Capital One Savor,0,12.574490348188771
2021-04-05,Food,Groceries,Safeway,Capital One Savor,0,16.154761459344996
2021-04-05,Transportation,Public Transportation,Metro,Citi Double Cash,0,2.626734276174824
2021-04-05,Food,Dining Out,Chipotle,Capital One Savor,0,15.024460285516167
2021-04-06,Food,Dining Out,McDonald's,Capital One Savor,0,9.435493783321453
2021-04-06,Food,Groceries,Giant,Capital One Savor,0,15.075991106143857
2021-04-06,Food,Groceries,Safeway,Capital One Savor,0,15.4405779508918
2021-04-07,Food,Dining Out,McDonald's,Capital One Savor,0,9.502317951258162
2021-04-07,Food,Dining Out,Subway,Capital One Savor,0,9.613450700165805
2021-04-07,Food,Dining Out,Chipotle,Capital One Savor,0,14.31050212862845
2021-04-08,Food,Dining Out,Dunkin',Capital One Savor,0,8.639641448639757
2021-04-08,Shopping,Entertainment,AMC,Capital One Savor,0,12.951465813670046
2021-04-08,Food,Groceries,Giant,Capital One Savor,0,14.893904318986127
2021-04-09,Shopping,Entertainment,Alamo,Capital One Savor,0,12.445588541830473
2021-04-10,Transportation,Public Transportation,Metro,Citi Double Cash,0,2.9039785825959936
2021-04-10,Shopping,Merchandise,Target,Citi Double Cash,0,20.40747773680514
2021-04-11,Food,Groceries,Safeway,Capital One Savor,0,14.214735207015735
2021-04-11,Shopping,Merchandise,Walmart,Citi Double Cash,0,19.803310021431493
2021-04-11,Transportation,Parking,Parkmobile,Citi Double Cash,0,3.8569130389813546
2021-04-12,Food,Groceries,Safeway,Capital One Savor,0,15.406154586288048
2021-04-12,Food,Groceries,Giant,Capital One Savor,0,13.414381945929845
2021-04-12,Shopping,Entertainment,AMC,Capital One Savor,0,12.475364602356137
2021-04-12,Food,Groceries,Whole Foods,Amazon,0,16.650243579546817
2021-04-13,Food,Dining Out,Chick Fil-A,Capital One Savor,0,10.604389971718925
2021-04-14,Food,Groceries,Whole Foods,Amazon,0,15.767514816309387
2021-04-14,Food,Dining Out,Chick Fil-A,Capital One Savor,0,13.125552971537987
2021-04-14,Shopping,Merchandise,Walmart,Citi Double Cash,0,19.05194091708882
2021-04-14,Food,Groceries,Safeway,Capital One Savor,0,15.376542011231662
2021-04-15,Food,Dining Out,McDonald's,Capital One Savor,0,10.2093625571784
2021-04-15,Shopping,Entertainment,AMC,Capital One Savor,0,11.468134168319748
2021-04-15,Food,Dining Out,Subway,Capital One Savor,0,10.16784693519418
2021-04-16,Food,Dining Out,Chipotle,Capital One Savor,0,13.600562807987153
2021-04-16,Food,Dining Out,McDonald's,Capital One Savor,0,11.228039606511835
2021-04-16,Food,Groceries,Safeway,Capital One Savor,0,14.210658956855228
2021-04-16,Shopping,Entertainment,Alamo,Capital One Savor,0,12.362089650532798
2021-04-17,Food,Dining Out,Dunkin',Capital One Savor,0,10.438340471488047
2021-04-17,Food,Groceries,Giant,Capital One Savor,0,15.749654192241678
2021-04-17,Food,Groceries,Safeway,Capital One Savor,0,14.278761765139292
2021-04-18,Food,Groceries,Safeway,Capital One Savor,0,13.437383493474375
2021-04-18,Food,Groceries,Giant,Capital One Savor,0,13.668694833022938
2021-04-19,Transportation,Gas,Shell,Citi Custom Cash,0,29.184627095275353
2021-04-19,Shopping,Merchandise,Amazon,Citi Double Cash,0,20.465958191810643
2021-04-19,Transportation,Gas,Citgo,Citi Custom Cash,0,30.753254801611188
2021-04-19,Food,Groceries,Trader Joe's,Capital One Savor,0,12.978596135506354
2021-04-20,Food,Dining Out,Subway,Capital One Savor,0,10.060331505041034
2021-04-20,Transportation,Rideshare,Lyft,Citi Double Cash,0,9.47806348233117
2021-04-21,Shopping,Merchandise,Walmart,Citi Double Cash,0,21.877808100018115
2021-04-21,Food,Groceries,Giant,Capital One Savor,0,15.386965363519112
2021-04-21,Food,Dining Out,Chick Fil-A,Capital One Savor,0,12.455863804474893
2021-04-21,Shopping,Clothes,Madewell,Citi Double Cash,0,40.96462101713122
2021-04-22,Shopping,Merchandise,Walmart,Citi Double Cash,0,20.195795670467515
2021-04-22,Food,Dining Out,Dunkin',Capital One Savor,0,9.28653077494781
2021-04-22,Shopping,Merchandise,Target,Citi Double Cash,0,18.301723934454195
2021-04-22,Food,Groceries,Safeway,Capital One Savor,0,14.628992984198737
2021-04-23,Shopping,Entertainment,AMC,Capital One Savor,0,10.86570757957201
2021-04-24,Food,Dining Out,Dunkin',Capital One Savor,0,10.082654531440154
2021-04-24,Food,Groceries,Safeway,Capital One Savor,0,15.870199115888703
